district_id,district_name,region_id,region_name,year,season,season_order,rainfall_mm,heavy_rain_days,valid_days,valid_pixel_fraction,baseline_mean_mm,baseline_std_mm,rainfall_anomaly_mm,rainfall_anomaly_z,percent_of_normal,source_version
SO1402,Caynabo,SO14,Sool,2018,Xagaa,3,30.79283318503727,0,92,1.0,34.04055230446078,15.571732126763298,-3.247719119423511,-0.20856505191491334,90.45926431987439,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2019,Deyr,4,203.85491677741527,1,92,1.0,71.15368220479392,64.733946343721,132.70123457262133,2.0499481658048637,286.49946209485233,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2019,Gu,2,173.3750597752195,1,91,1.0,135.46340562519273,41.90617239386589,37.91165415002678,0.9046794776126149,127.98663888232866,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2019,Jilaal,1,4.086139174625786,0,90,1.0,17.36127373208769,23.965083971478318,-13.275134557461904,-0.5539364924930413,23.53594118543069,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2019,Xagaa,3,57.48484577773219,0,92,1.0,34.04055230446078,15.571732126763298,23.444293473271408,1.505567478455236,168.87166008231657,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2020,Deyr,4,15.168832121878985,0,92,1.0,71.15368220479392,64.733946343721,-55.98485008291494,-0.8648453129313242,21.318407778560474,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2020,Gu,2,181.70204429430856,1,91,1.0,135.46340562519273,41.90617239386589,46.23863866911583,1.1033849198760066,134.1336750362318,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2020,Jilaal,1,60.09728177395835,1,91,1.0,17.36127373208769,23.965083971478318,42.73600804187066,1.783261351920664,346.1571005754292,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2020,Xagaa,3,58.09300590541618,0,92,1.0,34.04055230446078,15.571732126763298,24.052453600955396,1.5446228720834592,170.65823546524385,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2021,Deyr,4,43.69873058822423,0,92,1.0,71.15368220479392,64.733946343721,-27.454951616569694,-0.4241198500519464,61.41457368636371,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2021,Gu,2,155.22137467737716,1,91,1.0,135.46340562519273,41.90617239386589,19.75796905218442,0.47148111897417144,114.58546606073953,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2021,Jilaal,1,3.94649274998858,0,90,1.0,17.36127373208769,23.965083971478318,-13.41478098209911,-0.5597635709544981,22.731585313896293,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2021,Xagaa,3,36.411785965915925,0,92,1.0,34.04055230446078,15.571732126763298,2.3712336614551432,0.1522780922605058,106.96590830914458,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2022,Deyr,4,51.02418320302183,0,92,1.0,71.15368220479392,64.733946343721,-20.129499001772096,-0.3109573900359714,71.70982811003998,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2022,Gu,2,64.92298205085899,0,91,1.0,135.46340562519273,41.90617239386589,-70.54042357433374,-1.6832943584382156,47.92658338333181,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2022,Jilaal,1,6.799962882291921,0,90,1.0,17.36127373208769,23.965083971478318,-10.561310849795767,-0.4406957581440212,39.16741932202821,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2022,Xagaa,3,31.545425301747393,0,92,1.0,34.04055230446078,15.571732126763298,-2.4951270027133887,-0.16023439026574238,92.67013360888853,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2023,Deyr,4,180.05676835011673,2,92,1.0,71.15368220479392,64.733946343721,108.9030861453228,1.6823180463473486,253.05333859164008,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2023,Gu,2,152.6798522925395,0,91,1.0,135.46340562519273,41.90617239386589,17.21644666734676,0.4108331943450616,112.70929708867804,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
